nome
"Centro Hospitalar Universitário de Lisboa Norte, E.P.E."
"Centro Hospitalar do Baixo Vouga, E.P.E. - Hospital de Aveiro"
"Centro Hospitalar Universitário de Lisboa Central, E.P.E.-Hospital de Dona Estefânia"
"Centro Hospitalar e Universitário de Coimbra, E.P.E."
"Hospital Divino Espírito Santo de Ponta Delgada, E.P.E.R."
"Instituto Português Oncologia de Lisboa Francisco Gentil, E.P.E."
Hospital Dr. Nélio Mendonça
"Centro Hospitalar de Leiria, E.P.E."
"Centro Hospitalar do Porto, E.P.E."
"Centro Hospitalar de Trás-os-Montes e Alto Douro, E.P.E."
"Centro Hospitalar de Lisboa Ocidental, E.P.E."
"Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E."
Hospital Beatriz Ângelo
Hospital Curry Cabral
"Hospital Espírito Santo de Évora, E.P.E."
"Instituto Português Oncologia de Coimbra Francisco Gentil, E.P.E."
"Centro Hospitalar Universitário de Lisboa Central, E.P.E."
"Hospital Distrital de Santarém, E.P.E."
"Centro Hospitalar Universitário de São João, E.P.E."
"Hospital de Braga, E.P.E."
"Hospital Prof. Dr. Fernando Fonseca, E.P.E."
Centro de Medicina de Reabilitação de Alcoitão
"Centro Hospitalar de Entre Douro e Vouga, E.P.E."
ACES Alentejo Central
ACES Arco Ribeirinho
ACES Baixo Mondego
ACES Cascais
ACES Dão Lafões
ACES do Grande Porto IV – Póvoa de Varzim/Vila do Conde
ACES do Pinhal Interior Norte
ACES do Tâmega II –  Vale do Sousa Sul
ACES do Tâmega III – Vale do Sousa Norte
ACES Entre Douro e Vouga I - Feira e Arouca
ACES Entre Douro e Vouga II - Aveiro Norte
ACES Lezíria
ACES PIN I - Lousã
ACES Sintra
Centro de Saúde do Estreito de Câmara de Lobos
"Unidade Local de Saúde do Alto Minho, E.P.E."
"Unidade Local de Saúde do Baixo Alentejo, E.P.E. - ACES"
"Centro Hospitalar Barreiro Montijo, E.P.E."
"Centro Hospitalar do Algarve, E.P.E. - Hospital de Portimão"
"Hospital Santa Maria Maior, E.P.E."
"Hospital Distrital Figueira da Foz, E.P.E."
Hospital da Luz Arrábida
"Unidade Local de Saúde do Alto Minho, E.P.E. - Hospital de Viana do Castelo"
"Unidade Local de Saúde de Castelo Branco, E.P.E."
